Search_ID,Case_Name,Citation,Year,Exclusion_Reason,First_Pass_Likely_Case_Type
westlaw_100_full_text_items_for_appendectomy_0001,Allen v. McDonald,2015 WL 5787022,2015,Non‑malpractice VA benefits claim; outside scope of surgical malpractice analysis.; Is_Malpractice_Case=NO,payment_dispute
westlaw_100_full_text_items_for_appendectomy_0002,"Frankie L. BROWN, Appellant,
v.
Denis MCDONOUGH, Secretary of Veterans Affairs, Appellee.",2022 WL 16958903,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0003,"Adam BROOK, et al., Plaintiffs,
v.
Judith ROGERS, M.H.A., et al., Defendants.",656 F.Supp.3d 78,2026,Is_Malpractice_Case=NO; Harm=NO,operative_complication
westlaw_100_full_text_items_for_appendectomy_0005,"John Wayne BROOKS, Appellant,
v.
Douglas A. COLLINS, Secretary of Veterans Affairs, Appellee.",2025 WL 1445409,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy_0006,"Declined to Extend by Langenberg v. Warren General Hosp., W.D.Pa., November 22, 2013",904 F.Supp.2d 699,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy_0007,"William S. WILLIAMS, Appellant,
v.
Jesse BROWN, Secretary of Veterans Affairs, Appellee.",15 Vet.App. 133,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy_0008,"Marianne PAVLOVITZ, Plaintiff,
v.
RELIANCE STANDARD LIFE INSURANCE COMPANY and Matrix Absence Management, Inc., Defendants.",2015 WL 851846,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0009,"Charles R. Simon v. Robert L. Wilkie, Secretary of Veterans Affairs",2020 WL 6788782,2020,Not a medical malpractice case; claim is for disability benefits related to appendectomy residuals.; Is_Malpractice_Case=NO,postop_management
westlaw_100_full_text_items_for_appendectomy_0011,"Superseded by Brook v. Rogers, D.D.C., February 2, 2023",498 F.Supp.3d 59,2026,Is_Malpractice_Case=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0013,"Gillis C. JEFFERSON, Appellant,
v.
Togo D. WEST, Jr., Secretary of Veterans Affairs, Appellee.",17 Vet.App. 77,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
