Search_ID,File_Name,Segment_Index,Case_Name_Hint,Citation_Hint,Year_Hint,Char_Count
westlaw_100_full_text_items_for_appendectomy_0000,Westlaw - 100 full text items for appendectomy.rtf,0,"Kandie R. WRIGHT, Plaintiff
v.
David H. SMITH, M.D. and Abingdon Surgical Associates, P.C., Defendants.",641 F.Supp.2d 536,2009,27572
westlaw_100_full_text_items_for_appendectomy_0001,Westlaw - 100 full text items for appendectomy.rtf,1,"Anthony A. ALLEN, Appellant,
v.
Robert A. McDONALD, Secretary of Veterans Affairs, Appellee.",2015 WL 5787022,2026,14448
westlaw_100_full_text_items_for_appendectomy_0002,Westlaw - 100 full text items for appendectomy.rtf,2,"Frankie L. BROWN, Appellant,
v.
Denis MCDONOUGH, Secretary of Veterans Affairs, Appellee.",2022 WL 16958903,2026,7838
westlaw_100_full_text_items_for_appendectomy_0003,Westlaw - 100 full text items for appendectomy.rtf,3,"Adam BROOK, et al., Plaintiffs,
v.
Judith ROGERS, M.H.A., et al., Defendants.",656 F.Supp.3d 78,2026,69053
westlaw_100_full_text_items_for_appendectomy_0004,Westlaw - 100 full text items for appendectomy.rtf,4,"Nilda TORRES NIEVES, et al., Plaintiffs,
v.
HOSPITAL METROPOLITANO, et al., Defendants,",998 F.Supp. 127,2026,54418
westlaw_100_full_text_items_for_appendectomy_0005,Westlaw - 100 full text items for appendectomy.rtf,5,"John Wayne BROOKS, Appellant,
v.
Douglas A. COLLINS, Secretary of Veterans Affairs, Appellee.",2025 WL 1445409,2026,19322
westlaw_100_full_text_items_for_appendectomy_0006,Westlaw - 100 full text items for appendectomy.rtf,6,"Declined to Extend by Langenberg v. Warren General Hosp., W.D.Pa., November 22, 2013",904 F.Supp.2d 699,2026,153614
westlaw_100_full_text_items_for_appendectomy_0007,Westlaw - 100 full text items for appendectomy.rtf,7,"William S. WILLIAMS, Appellant,
v.
Jesse BROWN, Secretary of Veterans Affairs, Appellee.",15 Vet.App. 133,2026,29137
westlaw_100_full_text_items_for_appendectomy_0008,Westlaw - 100 full text items for appendectomy.rtf,8,"Marianne PAVLOVITZ, Plaintiff,
v.
RELIANCE STANDARD LIFE INSURANCE COMPANY and Matrix Absence Management, Inc., Defendants.",2015 WL 851846,2026,31798
westlaw_100_full_text_items_for_appendectomy_0009,Westlaw - 100 full text items for appendectomy.rtf,9,"Charles R. SIMON, Appellant,
v.
Robert L. WILKIE, Secretary of Veterans Affairs, Appellee.",2020 WL 6788782,2026,25004
westlaw_100_full_text_items_for_appendectomy_0010,Westlaw - 100 full text items for appendectomy.rtf,10,"Ronald W. YOUNG, Appellant,
v.
Frederick C. FISHBACK, Appellee.",262 F.2d 469,2026,6051
westlaw_100_full_text_items_for_appendectomy_0011,Westlaw - 100 full text items for appendectomy.rtf,11,"Superseded by Brook v. Rogers, D.D.C., February 2, 2023",498 F.Supp.3d 59,2026,68987
westlaw_100_full_text_items_for_appendectomy_0012,Westlaw - 100 full text items for appendectomy.rtf,12,"Abrogation Recognized by Rakes v. U.S., 1st Cir.(Mass.), March 23, 2006",269 F.2d 305,2026,21465
westlaw_100_full_text_items_for_appendectomy_0013,Westlaw - 100 full text items for appendectomy.rtf,13,"Gillis C. JEFFERSON, Appellant,
v.
Togo D. WEST, Jr., Secretary of Veterans Affairs, Appellee.",17 Vet.App. 77,2026,14309
westlaw_100_full_text_items_for_appendectomy_0014,Westlaw - 100 full text items for appendectomy.rtf,14,"Jimmie McCOY, Appellant,
v.
Togo D. WEST, Jr., Secretary of Veterans Affairs, Appellee.",16 Vet.App. 164,2026,14846
westlaw_100_full_text_items_for_appendectomy_0015,Westlaw - 100 full text items for appendectomy.rtf,15,"Distinguished by Walsh v. Snyder, Vet.App., February 7, 2017",6 Vet.App. 396,2026,29528
westlaw_100_full_text_items_for_appendectomy_0016,Westlaw - 100 full text items for appendectomy.rtf,16,"Jorge Robles JAUREGUI, Plaintiff,
v.
Matthew CATE, et al., Defendants.",2013 WL 3934985,2026,20325
westlaw_100_full_text_items_for_appendectomy_0017,Westlaw - 100 full text items for appendectomy.rtf,17,"James Earl PRICE, Plaintiff
v.
Ronald KING, et al., Defendants.",2010 WL 2522703,2026,30825
westlaw_100_full_text_items_for_appendectomy_0018,Westlaw - 100 full text items for appendectomy.rtf,18,"Delbert BAUGHMAN and Linda Baughman, Plaintiffs,
v.
Charles E. BOLINGER, M. D., Defendant.",485 F.Supp. 1000,2026,13841
westlaw_100_full_text_items_for_appendectomy_0019,Westlaw - 100 full text items for appendectomy.rtf,19,"J. Michael GLENN, M.D., Plaintiff,
v.
UPMC CHAUTAUQUA, and Galo Grijalvo, M.D., Defendants.",2025 WL 1118624,2026,66466
westlaw_100_full_text_items_for_appendectomy_0020,Westlaw - 100 full text items for appendectomy.rtf,20,"Dennis D. PATTON, Appellant,
v.
Jesse BROWN, Secretary of Veterans Affairs, Appellee.",15 Vet.App. 103,2026,9782
westlaw_100_full_text_items_for_appendectomy_0021,Westlaw - 100 full text items for appendectomy.rtf,21,"Norman L. COLEMAN, Appellant,
v.
Robert L. WILKIE, Acting Secretary of Veterans Affairs, Appellee.",2018 WL 1750947,2026,43485
westlaw_100_full_text_items_for_appendectomy_0022,Westlaw - 100 full text items for appendectomy.rtf,22,"Samuel FRIEDMAN, Appellant,
v.
Jesse BROWN, Secretary of Veterans Affairs, Appellee.",15 Vet.App. 103,2026,12538
westlaw_100_full_text_items_for_appendectomy_0023,Westlaw - 100 full text items for appendectomy.rtf,23,"Distinguished by Tedder v. Union Fidelity Life Ins. Co., E.D.N.C., August 25, 1977",424 F.2d 1006,2026,26605
westlaw_100_full_text_items_for_appendectomy_0024,Westlaw - 100 full text items for appendectomy.rtf,24,"Bernard WOODS, Appellant,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Appellee.",2009 WL 3645069,2026,6653
westlaw_100_full_text_items_for_appendectomy_0025,Westlaw - 100 full text items for appendectomy.rtf,25,"Richard L. AMBROSE, Plaintiff–Appellant,
v.
Nancy PUCKETT, et al., Defendants–Appellees.",198 Fed.Appx. 537,2026,22400
